age_check,agree_rules,consent,age_1,mc_background,mc_player,mc_collab,expertise_1,expertise_2,expertise_3,mc_act,mc_act_8_TEXT,mc_dim,mc_mode,mc_level,mc_friends,mc_num_ppl,age_2,study_ref,study_ref_5_TEXT
Yes,Yes,Yes,23,Yes,Both,Yes,7,7,6,"Building,Exploring,Surviving,Combat w/ Monsters",,The Overworld,"Survival,Hardcore","Hard,Hardcore Mode",No,,,From a friend,
Yes,Yes,Yes,21,Yes,Both,Yes,10,10,10,"Building,Exploring,Crafting,Surviving",,The Overworld,Survival,Normal,Yes,,,From a friend,
Yes,Yes,Yes,22,Yes,Both,Sometimes,8,8,8,"Building,Exploring,Crafting",,The Overworld,"Survival,Adventure","Normal,Hard",No,,,From a friend,
Yes,Yes,Yes,23,Yes,Both,Sometimes,8,8,8,"Exploring,Crafting,Surviving,Combat w/ Players,Combat w/ Monsters,Experience",,The Overworld,"Survival,Hardcore","Normal,Hard,Hardcore Mode",No,,,Other(s),
Yes,Yes,Yes,27,Yes,Both,Sometimes,8,8,8,"Building,Exploring",,The Overworld,Survival,"Normal,Hard",No,,,Other(s),Discord
Yes,Yes,Yes,20,Yes,Singleplayer,,9,9,7,"Building,Exploring,Crafting",,The Overworld,"Creative,Survival","Peaceful,Easy",No,,,From a friend,
Yes,Yes,Yes,19,Yes,Singleplayer,,7,8,5,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters,Experience",,The Overworld,"Survival,Adventure,Hardcore","Normal,Hard,Hardcore Mode",Yes,1,,On social media,
Yes,Yes,Yes,22,Yes,Both,Sometimes,10,10,10,"Building,Exploring,Crafting,Surviving",,The Overworld,Survival,"Normal,Hard,Hardcore Mode",Yes,1,,From a friend,
Yes,Yes,Yes,22,Yes,Singleplayer,,10,3,5,"Surviving,Combat w/ Players,Combat w/ Monsters",,The End,Spectator,Peaceful,No,,,"In class,From a friend",
Yes,Yes,Yes,18,Yes,Both,Yes,8,7,8,"Building,Surviving",,The Overworld,Survival,Normal,No,,,From a friend,
Yes,Yes,Yes,21,Yes,Both,Yes,8,8,8,"Building,Crafting,Surviving,Experience,Other","Agriculture, Breeding Animals & Villagers, Alchemy",The Overworld,"Creative,Survival","Peaceful,Easy,Normal",No,,,From a friend,
Yes,Yes,Yes,24,Yes,Both,Yes,7,7,8,"Building,Exploring,Crafting,Surviving,Experience,Other",Making our big beautiful town,The Overworld,"Creative,Survival","Peaceful,Easy,Normal",Yes,I haven't asked yet but maybe 1 or 2,,"From a friend,On social media",
Yes,Yes,Yes,23,No,,,,,,,,,,,No,,,Other(s),Email
Yes,Yes,Yes,19,Yes,Singleplayer,,10,10,10,"Building,Exploring",,The End,"Survival,Hardcore","Hard,Hardcore Mode",No,,,Through a Student Organization,
Yes,Yes,Yes,21,Yes,Multiplayer,Sometimes,5,5,5,"Building,Exploring",,The Overworld,Survival,"Easy,Normal,Hard",No,,,Other(s),email
Yes,Yes,Yes,19,Yes,Both,Sometimes,7,9,6,Other,Redstone/Farming,The Overworld,Survival,Hard,No,,,Other(s),Email
Yes,Yes,Yes,18,Yes,Both,Sometimes,7,7,5,"Surviving,Combat w/ Players,Combat w/ Monsters,Experience",,The Overworld,"Survival,Hardcore","Normal,Hard",No,,,Other(s),email 
Yes,Yes,Yes,22,Yes,Both,Sometimes,6,6,4,"Building,Exploring,Crafting,Surviving",,The Overworld,Survival,Hard,No,,,Through a Student Organization,
Yes,Yes,Yes,21,Yes,Both,Sometimes,5,5,4,"Combat w/ Players,Experience,Other",Mini games,The Overworld,"Creative,Survival","Normal,Hard",Yes,2,,Other(s),Email
Yes,Yes,Yes,19,Yes,Both,No,5,5,3,"Building,Crafting,Surviving",,The Overworld,Survival,"Peaceful,Easy",No,,,Through a Student Organization,
Yes,Yes,Yes,21,Yes,Both,Yes,9,9,9,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters,Experience",,The Overworld,Survival,"Easy,Normal",No,,,Other(s),Email
Yes,Yes,Yes,18,Yes,Multiplayer,Sometimes,5,1,7,Building,,The Overworld,"Creative,Survival","Peaceful,Easy,Normal",No,,,Other(s),Email 
Yes,Yes,Yes,19,Yes,Both,Yes,8,9,5,"Crafting,Surviving,Other",Redstone,The Overworld,Survival,"Normal,Hard",No,,,Other(s),Email
Yes,Yes,Yes,18,Yes,Both,Yes,6,6,10,"Building,Crafting,Surviving,Combat w/ Monsters,Experience",,"The Overworld,The End","Creative,Survival","Easy,Normal,Hard",Yes,4,,Other(s),My outlook
Yes,Yes,Yes,20,Yes,Multiplayer,Sometimes,7,7,7,"Building,Other","Farms, Redstone",The Overworld,Survival,"Peaceful,Easy,Hard",Yes,2,,Other(s),Email
Yes,Yes,Yes,18,Yes,Both,Sometimes,7,7,8,"Building,Surviving,Combat w/ Players,Combat w/ Monsters",,"The Overworld,Other(s)","Survival,Hardcore","Hard,Hardcore Mode",Yes,0,,Other(s),EMAIL
Yes,Yes,Yes,23,Yes,Both,Sometimes,8,8,9,"Building,Crafting",,The Overworld,Survival,Normal,No,,,"Through a Student Organization,From a friend",
Yes,Yes,Yes,23,Yes,Both,Yes,7,7,10,Building,,The Overworld,Survival,Hard,No,,,From a friend,
Yes,Yes,Yes,18,Yes,Both,Yes,9,7,10,"Building,Exploring,Combat w/ Players",,The Overworld,Survival,Hard,No,,,Through a Student Organization,
Yes,Yes,Yes,25,Yes,Both,Yes,5,5,5,"Building,Exploring",,The Overworld,Survival,Normal,No,,,From a friend,
Yes,Yes,Yes,20,Yes,Multiplayer,Sometimes,6,6,8,"Building,Exploring,Crafting,Surviving,Combat w/ Players,Combat w/ Monsters,Experience",,The Overworld,Survival,Hard,No,,,From a friend,
Yes,Yes,Yes,21,Yes,Both,Sometimes,10,10,10,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters,Experience,Other",,"The Overworld,The End","Survival,Hardcore","Hard,Hardcore Mode",Yes,2,,Through a Student Organization,
Yes,Yes,Yes,20,Yes,Both,Sometimes,6,5,7,"Building,Exploring",,The Overworld,Survival,Normal,Yes,4,,From a friend,
Yes,Yes,Yes,19,Yes,Both,Yes,10,10,10,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters,Experience",,"The Overworld,The Nether","Creative,Survival","Peaceful,Hard",No,,,Other(s),ucf email
Yes,Yes,Yes,22,Yes,Both,Yes,9,9,8,"Exploring,Crafting,Surviving,Combat w/ Players,Combat w/ Monsters,Experience",,The Overworld,"Creative,Survival,Adventure,Hardcore,Spectator","Hard,Hardcore Mode",No,,,Other(s),Email from Charlese Hilton-Brown
Yes,Yes,Yes,22,Yes,Multiplayer,Sometimes,8,7,8,"Building,Exploring,Crafting",,The Overworld,Survival,Normal,No,,,From a friend,
Yes,Yes,Yes,19,No,,,,,,,,,,,No,,,Other(s),
Yes,Yes,Yes,18,Yes,Both,,,,,,,,,,,,,,
Yes,Yes,Yes,18,Yes,Multiplayer,Sometimes,6,7,5,"Building,Crafting,Surviving,Experience,Other",Farming/automating,The Overworld,"Creative,Survival","Peaceful,Easy,Hard",Yes,3,18,Dept. email,
Yes,Yes,Yes,18,Yes,Both,Sometimes,10,10,7,"Building,Exploring,Experience,Other",I code server plugins,The Overworld,"Creative,Survival,Spectator",Hard,No,,18,From a friend,
Yes,Yes,Yes,21,Yes,Both,Sometimes,8,5,7,"Exploring,Surviving",,The Nether,"Survival,Hardcore","Easy,Hardcore Mode",No,,21,In class,
Yes,Yes,Yes,18,Yes,Both,Yes,10,9,10,Exploring,,The Overworld,Survival,Normal,No,,18,From a friend,
Yes,Yes,Yes,18,Yes,Both,Yes,8,6,7,"Experience,Other",Redstone/farms,The Overworld,"Creative,Survival",Hard,No,,18,Dept. email,
Yes,Yes,Yes,21,Yes,Both,Sometimes,6,5,6,"Building,Exploring,Crafting,Surviving,Experience",,The Overworld,"Creative,Survival","Peaceful,Easy",No,,21,From a friend,
Yes,Yes,Yes,23,Yes,Both,,,,,,,,,,,,,,
Yes,Yes,Yes,21,Yes,Singleplayer,,9,8,7,"Building,Crafting",,The Overworld,Survival,Hard,No,,,,
Yes,Yes,Yes,20,Yes,Both,Yes,9,9,9,"Building,Exploring,Crafting,Surviving,Combat w/ Players,Combat w/ Monsters,Experience",,The Overworld,"Survival,Hardcore","Easy,Normal,Hard,Hardcore Mode",No,,20,Dept. email,
Yes,Yes,Yes,18,Yes,Both,Sometimes,7,7,5,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters,Experience",,The Overworld,"Creative,Survival","Peaceful,Easy,Normal",No,,18,Dept. email,
Yes,Yes,Yes,21,Yes,Both,Sometimes,6,7,10,"Building,Exploring,Crafting,Surviving",,The Overworld,Survival,"Easy,Normal",No,,21,Dept. email,
Yes,Yes,Yes,21,Yes,Both,Sometimes,7,4,9,"Building,Exploring,Experience",,The Overworld,"Survival,Hardcore","Hard,Hardcore Mode",No,,21,Dept. email,
Yes,Yes,Yes,19,Yes,Multiplayer,Sometimes,10,10,10,Combat w/ Players,,The Overworld,Survival,Normal,No,,19,Dept. email,
Yes,Yes,Yes,19,Yes,Multiplayer,Sometimes,5,4,6,"Building,Exploring,Crafting,Surviving",,The Overworld,Survival,Normal,No,,19,Dept. email,
Yes,Yes,Yes,19,Yes,Both,,9,10,9,"Surviving,Combat w/ Players",,The Overworld,"Creative,Survival,Hardcore","Hard,Hardcore Mode",No,,19,Dept. email,
Yes,Yes,Yes,21,Yes,Singleplayer,,10,10,10,"Building,Combat w/ Players",,"The Overworld,The Nether",Survival,"Hard,Hardcore Mode",No,,21,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Yes,8,8,8,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters",,The Overworld,Survival,Normal,No,,20,From a friend,
Yes,Yes,Yes,18,Yes,Both,Sometimes,8,8,8,"Building,Exploring,Crafting,Experience",,The Overworld,Survival,Normal,No,,18,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Yes,7,6,8,"Exploring,Other",Mining,The Overworld,"Creative,Survival",Normal,No,,20,Dept. email,
Yes,Yes,Yes,19,Yes,Singleplayer,,7,9,4,"Exploring,Crafting",,The Overworld,Survival,"Easy,Normal",No,,19,Dept. email,
Yes,Yes,Yes,19,Yes,Both,Yes,8,8,6,"Exploring,Crafting,Surviving",,The Overworld,Survival,"Normal,Hard",No,,,,
Yes,Yes,Yes,19,Yes,Both,Sometimes,7,9,6,"Building,Exploring,Combat w/ Monsters,Other",Enchanting,The Overworld,"Survival,Hardcore","Normal,Hardcore Mode",No,,19,From a friend,
Yes,Yes,Yes,20,Yes,Both,Sometimes,8,10,7,"Building,Exploring",,The Overworld,Survival,Normal,No,,20,From a friend,
Yes,Yes,Yes,26,No,,,,,,,,,,,No,,26,From a friend,
Yes,Yes,Yes,19,No,,,,,,,,,,,Yes,1,19,From a friend,
Yes,Yes,Yes,19,Yes,Multiplayer,Yes,7,7,7,"Building,Exploring,Crafting,Surviving,Experience",,The Overworld,Survival,Normal,No,,19,Dept. email,
Yes,Yes,Yes,18,Yes,Both,Sometimes,7,4,6,"Exploring,Surviving",,The Overworld,Survival,Normal,No,,18,Other(s),Sister
Yes,Yes,Yes,23,Yes,Both,Yes,10,10,10,"Building,Exploring,Crafting,Experience",,The Overworld,Survival,Normal,No,,23,Dept. email,
Yes,Yes,Yes,18,Yes,Both,Sometimes,9,9,9,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters",,The Overworld,"Survival,Hardcore",Hard,No,,18,Dept. email,
Yes,Yes,Yes,21,Yes,Both,,10,10,10,"Building,Exploring,Crafting,Surviving,Combat w/ Monsters,Experience",,The Overworld,"Survival,Hardcore","Hard,Hardcore Mode",Yes,2,21,Dept. email,
Yes,Yes,Yes,19,Yes,Both,Sometimes,7,8,6,"Building,Exploring",,The Overworld,Survival,Hard,No,,19,From a friend,
Yes,Yes,Yes,20,Yes,Multiplayer,Yes,7,5,6,"Building,Exploring",,The Overworld,Survival,Normal,Yes,1,20,From a friend,
Yes,Yes,Yes,19,Yes,Both,Yes,10,10,10,"Building,Exploring,Crafting,Surviving,Combat w/ Players,Combat w/ Monsters,Experience,Other",Redstone,The Overworld,"Survival,Hardcore",Hard,No,,19,Dept. email,
Yes,Yes,Yes,19,Yes,Both,Yes,6,5,7,"Building,Crafting,Surviving",,The Overworld,"Survival,Hardcore","Normal,Hard",No,,19,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Yes,10,10,10,"Building,Exploring,Experience",,"The Overworld,The Nether,The End",Survival,"Normal,Hard",No,,20,Dept. email,
Yes,Yes,Yes,24,Yes,Both,Sometimes,6,6,6,"Building,Exploring",,The Overworld,Survival,Normal,No,,24,Dept. email,
Yes,Yes,Yes,20,Yes,Singleplayer,,7,8,6,"Exploring,Crafting,Surviving,Combat w/ Monsters",,The Overworld,Survival,Normal,No,,20,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Sometimes,6,7,5,"Building,Exploring,Surviving",,The Overworld,"Creative,Survival",Normal,No,,20,Dept. email,
Yes,Yes,Yes,20,Yes,Both,Sometimes,8,9,7,"Building,Exploring,Crafting,Experience",,The Overworld,Survival,Normal,No,,20,Dept. email,
